Song,Album debut,Songwriter(s)[a],Lead vocal(s)[3],Year,Notes,Ref(s)
"""12-Bar Original""",*Anthology 2*,"John Lennon
Paul McCartney
George Harrison
Ringo Starr",Instrumental,1965,,[4]
"""Across the Universe""",*Let It Be*,Lennon,Lennon,1968,,[5]
"""Act Naturally""","UK: *Help!*
US: *Yesterday and Today*","Johnny Russell
Voni Morrison",Starr,1965,,[6][7]
"""Ain't She Sweet""",*Anthology 1*,"Jack Yellen
Milton Ager",Lennon,1961,,[8]
"""All I've Got to Do""","UK: *With the Beatles*
US: *Meet the Beatles!*",Lennon,Lennon,1963,,[9][10]
"""All My Loving""","UK: *With the Beatles*
US: *Meet the Beatles!*",McCartney,McCartney,1963,,[9][10]
"""All Things Must Pass""",*Anthology 3*,Harrison,Harrison,1969,,[11]
"""All Together Now""",*Yellow Submarine*,"McCartney
(with Lennon)",McCartney,1967,,[12]
"""All You Need Is Love""",*Magical Mystery Tour*,Lennon,Lennon,1967,,[13]
"""And I Love Her""","UK: *A Hard Day's Night*
US: *Something New*","McCartney
(with Lennon)",McCartney,1964,,[14][15]
"""And Your Bird Can Sing""","UK: *Revolver*
US: *Yesterday and Today*","Lennon
(with McCartney)",Lennon,1966,,[16][7]
"""Anna (Go to Him)""","UK: *Please Please Me*
US: *The Early Beatles*",Arthur Alexander,Lennon,1963,,[17]
"""Another Girl""",*Help!*,McCartney,McCartney,1965,,[6]
"""Any Time at All""","UK: *A Hard Day's Night*
US: *Something New*","Lennon
(with McCartney)",Lennon,1964,,[14][15]
"""Ask Me Why""","UK: *Please Please Me*
US: *The Early Beatles*","Lennon
(with McCartney)",Lennon,1962,,[17]
"""Baby It's You""","UK: *Please Please Me*
US: *The Early Beatles*","Burt Bacharach
Hal David
Luther Dixon",Lennon,1963,,[17]
"""Baby, You're a Rich Man""",*Magical Mystery Tour*,"Lennon
McCartney",Lennon,1967,,[13]
"""Baby's in Black""","UK: *Beatles for Sale*
US: *Beatles '65*","Lennon
McCartney","Lennon
McCartney",1964,,[18][19]
"""Back in the U.S.S.R.",*The Beatles*,McCartney,McCartney,1968,,[20]
"""Bad Boy""","UK: *A Collection of Beatles Oldies*
US: *Beatles VI*",Larry Williams,Lennon,1965,,[21][22]
"""Bad to Me"" (demo)",*The Beatles Bootleg Recordings 1963*,Lennon,Lennon,1963,Written for Billy J. Kramer,
"""The Ballad of John and Yoko""","UK: *1967–1970*
US: *Hey Jude*",Lennon,"Lennon
(with McCartney)",1969,,[23]
"""Beautiful Dreamer""",*On Air – Live at the BBC Volume 2*,Stephen Foster,McCartney,1963,,[24]
"""Because""",*Abbey Road*,Lennon[25],"Lennon
McCartney
Harrison",1969,,[26]
"""Because I Know You Love Me So""",*Let It Be... Naked* – *Fly on the Wall* bonus disc,"Lennon
McCartney","Lennon
McCartney",1969,,
"""Being for the Benefit of Mr. Kite!""",*Sgt. Pepper's Lonely Hearts Club Band*,Lennon,Lennon,1967,,[27]
"""Bésame Mucho""",*Anthology 1*,"Consuelo Velázquez
Sunny Skylar",McCartney,1962,,[8]
"""Birthday""",*The Beatles*,"Lennon
McCartney","McCartney
(with Lennon)",1968,,[20]
"""Blackbird""",*The Beatles*,McCartney,McCartney,1968,,[20]
"""Blue Moon""",Richard Rogers and Lorenz Hart,,,1968,,
"""Blue Jay Way""",*Magical Mystery Tour*,Harrison,Harrison,1967,,[13]
"""Boys""","UK: *Please Please Me*
US: *The Early Beatles*","Luther Dixon
Wes Farrell",Starr,1963,,[17]
